pdbid,url,http_code,filepath,filesize,error
1i24,https://pdb-redo.eu/dssp/db/1i24/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i24.dssp,57187,
1i27,https://pdb-redo.eu/dssp/db/1i27/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i27.dssp,13621,
1i2k,https://pdb-redo.eu/dssp/db/1i2k/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i2k.dssp,40473,
1i2t,https://pdb-redo.eu/dssp/db/1i2t/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i2t.dssp,11977,
1i4u,https://pdb-redo.eu/dssp/db/1i4u/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i4u.dssp,53214,
1i58,https://pdb-redo.eu/dssp/db/1i58/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i58.dssp,53762,
1i8n,https://pdb-redo.eu/dssp/db/1i8n/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i8n.dssp,40473,
1ia9,https://pdb-redo.eu/dssp/db/1ia9/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ia9.dssp,80066,
1iap,https://pdb-redo.eu/dssp/db/1iap/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iap.dssp,29650,
1iaw,https://pdb-redo.eu/dssp/db/1iaw/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iaw.dssp,87053,
1idp,https://pdb-redo.eu/dssp/db/1idp/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1idp.dssp,64311,
1ifg,https://pdb-redo.eu/dssp/db/1ifg/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ifg.dssp,22800,
1ifr,https://pdb-redo.eu/dssp/db/1ifr/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ifr.dssp,19101,
1ig0,https://pdb-redo.eu/dssp/db/1ig0/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ig0.dssp,90889,
1igq,https://pdb-redo.eu/dssp/db/1igq/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1igq.dssp,35130,
1iko,https://pdb-redo.eu/dssp/db/1iko/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iko.dssp,22937,
1ilk,https://pdb-redo.eu/dssp/db/1ilk/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ilk.dssp,24307,
1inp,https://pdb-redo.eu/dssp/db/1inp/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1inp.dssp,58420,
1io0,https://pdb-redo.eu/dssp/db/1io0/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1io0.dssp,26362,
1iq4,https://pdb-redo.eu/dssp/db/1iq4/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iq4.dssp,52803,
1iqz,https://pdb-redo.eu/dssp/db/1iqz/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iqz.dssp,14717,
1irq,https://pdb-redo.eu/dssp/db/1irq/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1irq.dssp,17046,
1iwp,https://pdb-redo.eu/dssp/db/1iwp/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iwp.dssp,244603,
1ix9,https://pdb-redo.eu/dssp/db/1ix9/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ix9.dssp,59927,
1iz6,https://pdb-redo.eu/dssp/db/1iz6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1iz6.dssp,59653,
1j0p,https://pdb-redo.eu/dssp/db/1j0p/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j0p.dssp,18416,
1j24,https://pdb-redo.eu/dssp/db/1j24/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j24.dssp,21841,
1j3e,https://pdb-redo.eu/dssp/db/1j3e/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j3e.dssp,19375,
1j3w,https://pdb-redo.eu/dssp/db/1j3w/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j3w.dssp,77326,
1j54,https://pdb-redo.eu/dssp/db/1j54/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j54.dssp,27458,
1j6r,https://pdb-redo.eu/dssp/db/1j6r/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j6r.dssp,57735,
1j77,https://pdb-redo.eu/dssp/db/1j77/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j77.dssp,30883,
1j7x,https://pdb-redo.eu/dssp/db/1j7x/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j7x.dssp,44994,
1j98,https://pdb-redo.eu/dssp/db/1j98/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1j98.dssp,24718,
1jad,https://pdb-redo.eu/dssp/db/1jad/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1jad.dssp,70065,
1jb0,https://pdb-redo.eu/dssp/db/1jb0/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1jb0.dssp,312829,
